"","Jar No","Sample ID","Plastic","Nitrogen","Treatment","Time1","Time","Plastic code","DOC","MBC","Nitrate","Ammonium","pH","BG","CB","LAP","XYL","TN","SOC","13C"
"1",1,"CON0T1","NONE","N0","NONE-N0","T1","5D","CO",61.0561197118531,121.534059612203,11.320606354791,1.41750721444036,6.1,86.6488241687139,36.1895239123663,38.7160264693278,20.1452313030349,0.103,1.064,-26.4088048941064
"2",2,"LDN0T1","LDPE","N0","LDPE-N0","T1","5D","LD",63.2845680724245,86.8231483070566,11.5253476622446,0.370398905295717,6.13,98.4621579456508,36.1589607349795,38.1373888015208,16.9570494253414,0.09,2.594,-31.3294548513768
"3",3,"BSN0T1","PBS","N0","PBS-N0","T1","5D","BS",64.6228206945429,108.750166207728,5.44010570723326,1.1486821446926,6.33,92.6973755232577,35.8166028372581,37.7521030532321,16.306047562377,0.109,2.692,-21.0955552692601
"4",4,"HAN0T1","PLA/PHA","N0","PLA/PHA-N0","T1","5D","HA",66.9498945394891,138.493215043054,0.262417441393677,0.669462729986885,6.89,57.6442771209853,27.1260846276415,128.914595768751,15.6488359094296,0.109,1.907,-20.481359397563
"5",5,"PLN0T1","PLA","N0","PLA-N0","T1","5D","PL",59.792422169399,86.9005758413996,12.4946421528131,0.368695783352738,6.12,102.335837750969,36.3769822988288,40.1975978167259,17.4736448814257,0.111,2.018,-19.2499320897287
"6",6,"CON0T1","NONE","N0","NONE-N0","T1","5D","CO",59.6571398019802,94.0616742605198,8.3188695712034,0.934983958564831,6.13,99.7569599279782,41.1988689394115,47.7628955532638,22.1261125205243,0.103,1.069,-26.3359513475459
"7",7,"LDN0T1","LDPE","N0","LDPE-N0","T1","5D","LD",64.397446265635,114.949103828016,11.3758023356485,0.782780578341675,6.14,101.72937354666,40.8921861018683,45.7772432031514,19.938020387849,0.095,2.811,-31.3820713016705
"8",8,"BSN0T1","PBS","N0","PBS-N0","T1","5D","BS",66.2263843137255,128.751330790581,6.25888070890833,1.15332328467116,6.3,96.7431224348447,41.5862049256342,44.6428273410546,19.9997232820574,0.106,2.369,-20.3720790777223
"9",9,"HAN0T1","PLA/PHA","N0","PLA/PHA-N0","T1","5D","HA",65.3503997154418,165.910697531538,0.0016,0.806076001684628,6.96,65.0005179286985,28.0392873875668,142.463337540761,14.2052268136004,0.117,2.03,-20.3781502066024
"10",10,"PLN0T1","PLA","N0","PLA-N0","T1","5D","PL",57.8807321257392,121.058634268706,11.964038761674,0.703875935188718,6.1,110.952717659076,43.4753183715464,46.1438692752562,20.1536365901422,0.11,2.016,-17.7635173689328
